"date","shours_u","shours_a","qhours_u","qhours_a"
1988-10-01,15504642914.982,15449027664.0865,39706844451.0358,39275123320.4627
1988-11-01,15435444631.9775,15472348565.9108,39429147270.5585,39348926927.2503
1988-12-01,15421244210.1232,15500732496.213,39373144902.0023,39438757275.1147
1989-01-01,15227894514.5377,15529116426.5151,38990182896.1076,39528587622.9791
1989-02-01,15310703101.6107,15563215787.3088,39400799269.2381,39630237639.6787
1989-03-01,15444100863.3294,15597315148.1024,39645268294.2667,39731887656.3783
1989-04-01,15509455483.7476,15630251480.2205,39641340856.1786,39829589452.2604
1989-05-01,15633784487.5796,15663187812.3387,39723564991.7271,39927291248.1426
1989-06-01,15928243385.1018,15693027154.9832,40229390804.7766,40031037526.1796
1989-07-01,16037071206.6228,15722866497.6277,40393953706.9396,40134783804.2166
1989-08-01,16065480604.4924,15754327897.5702,40464525279.6782,40248005987.6067
1989-09-01,15843140813.5663,15785789297.5126,40487293882.5705,40361228170.9968
1989-10-01,15865454853.2141,15809839602.3186,40879144625.722,40447423495.1489
1989-11-01,15796985973.1914,15833889907.1247,40613839162.6092,40533618819.301
1989-12-01,15770067967.8401,15849556253.9299,40523869980.9503,40589482354.0627
1990-01-01,15564000688.7577,15865222600.7352,40106941161.9528,40645345888.8243
1990-02-01,15630574660.2356,15883087345.9336,40470550017.4578,40699988387.8983
1990-03-01,15747737806.3591,15900952091.1321,40668011524.8607,40754630886.9724
1990-04-01,15793817900.7664,15914613897.2394,40616780287.7081,40805028883.7899
1990-05-01,15898872378.5876,15928275703.3467,40651700624.192,40855426880.6075
1990-06-01,16157574426.7736,15922358196.6549,41067335888.9741,40868982610.3772
1990-07-01,16230645398.9583,15916440689.9632,41141708242.8698,40882538340.1468
1990-08-01,16203544045.2283,15892391338.306,41074921717.5644,40858402425.4929
1990-09-01,15925693502.7025,15868341986.6489,40960332222.4127,40834266510.839
1990-10-01,15892943110.8816,15837327859.9861,41224940726.2895,40793219595.7165
1990-11-01,15769409799.3901,15806313733.3233,40832393023.9022,40752172680.594
1990-12-01,15690979454.9763,15770467741.0661,40644449700.6752,40710062073.7876
1991-01-01,15433399836.8314,15734621748.8089,40129546740.1098,40667951466.9813
1991-02-01,15449084456.1349,15701597141.8329,40404509159.6942,40633947530.1348
1991-03-01,15515358250.084,15668572534.8569,40513324231.1767,40599943593.2883
1991-04-01,15524604227.5525,15645400224.0254,40389800660.0518,40578049256.1337
1991-05-01,15592824588.4348,15622227913.1939,40352428662.5636,40556154918.9791
1991-06-01,15844769197.9813,15609552967.8627,40738679097.7944,40540325819.1974
1991-07-01,15911082731.5265,15596878022.5314,40783666622.1388,40524496719.4158
1991-08-01,15906634667.0912,15595481960.169,40742343602.7882,40525824310.7167
1991-09-01,15651437413.8602,15594085897.8065,40653217613.5914,40527151902.0177
1991-10-01,15656482223.9094,15600866973.0139,40968362675.3519,40536641544.7788
1991-11-01,15570744114.288,15607648048.2212,40626351530.8482,40546131187.54
1991-12-01,15543192385.6835,15622680671.7733,40506734137.5965,40572346510.7088
1992-01-01,15336491383.3479,15637713295.3254,40060157107.0063,40598561833.8777
1992-02-01,15404049635.4876,15656562321.1857,40405671015.7766,40635109386.2171
1992-03-01,15522197062.273,15675411347.046,40585037576.4449,40671656938.5565
1992-04-01,15570738528.9259,15691534525.3988,40527769178.1098,40716017774.1916
1992-05-01,15678254378.9926,15707657703.7517,40556652353.4113,40760378609.8268
1992-06-01,15951476613.0613,15716260382.9427,41000344853.3851,40801991574.7882
1992-07-01,16039067771.1288,15724863062.1337,41102774442.4726,40843604539.7496
1992-08-01,16036036045.9078,15724883338.9855,41100103965.7695,40883584673.698
1992-09-01,15782255131.891,15724903615.8373,41049630519.2201,40923564807.6464
1992-10-01,15776512416.1219,15720897165.2263,41388940992.883,40957219862.3099
1992-11-01,15679986780.6821,15716890714.6154,41071095260.2816,40990874916.9734
1992-12-01,15650016103.2229,15729504389.3127,41000144568.0604,41065756941.1728
1993-01-01,15440896152.0325,15742118064.0099,40602234238.5008,41140638965.3723
1993-02-01,15521775424.327,15774288110.025,41026295335.1143,41255733705.5549
1993-03-01,15653243871.2671,15806458156.0401,41284209083.6259,41370828445.7375
